epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.208,2.80373,4.10455,1.61002,0.00665,0.90408,0.01536,0.00544,2.20949,3.85654,1.21046,0.00022,0.00022,0.00022
2,197.978,2.28568,2.28376,1.23175,0.00683,0.92806,0.01733,0.00612,1.85359,3.61402,1.09858,0.000455446,0.000455446,0.000455446
3,312.619,2.04376,1.97977,1.14712,0.0069,0.93765,0.12538,0.03782,2.06054,3.58826,1.14043,0.00068614,0.00068614,0.00068614
4,424.031,1.92835,1.72024,1.12858,0.00596,0.81055,0.21824,0.04012,2.46258,3.3988,1.35952,0.000912082,0.000912082,0.000912082
5,532.483,1.8818,1.62309,1.09229,0.00684,0.93046,0.07759,0.02514,1.74458,3.13901,1.07242,0.00113327,0.00113327,0.00113327
6,642.51,1.88813,1.59833,1.11676,0.007,0.95204,0.08533,0.03068,1.87752,2.91748,1.0892,0.00134971,0.00134971,0.00134971
7,753.676,1.87761,1.47973,1.10039,0.91468,0.38562,0.74349,0.28932,2.10939,2.25269,1.26109,0.0015614,0.0015614,0.0015614
8,864.377,1.91978,1.49905,1.1424,0.67034,0.71942,0.71859,0.29735,1.7855,2.04066,1.10356,0.00176833,0.00176833,0.00176833
9,977,2.04289,1.56817,1.1323,0.75563,0.65997,0.73644,0.26366,2.18896,2.01894,1.29422,0.0018416,0.0018416,0.0018416
10,1451.2,1.82818,1.38064,1.08578,0.75179,0.65947,0.71925,0.21593,2.45621,1.86634,1.41436,0.0018218,0.0018218,0.0018218
11,1559.59,1.74669,1.35135,1.04734,0.70799,0.77698,0.77639,0.32725,1.82159,1.40413,1.12648,0.001802,0.001802,0.001802
12,1666.95,1.83012,1.39278,1.09264,0.82653,0.8341,0.86968,0.42836,1.71374,1.38446,1.09079,0.0017822,0.0017822,0.0017822
13,1774.46,1.76676,1.29557,1.07621,0.84012,0.84173,0.88306,0.39011,1.8293,1.25601,1.13416,0.0017624,0.0017624,0.0017624
14,1881.21,1.65432,1.25179,1.02529,0.81986,0.8801,0.88319,0.46724,1.54646,1.10092,1.02424,0.0017426,0.0017426,0.0017426
15,1985.44,1.64984,1.18578,1.05354,0.83147,0.92086,0.90875,0.45077,1.61584,1.11879,1.04219,0.0017228,0.0017228,0.0017228
16,2090.32,1.60975,1.10469,1.04111,0.84463,0.90647,0.90504,0.47041,1.5246,1.08323,1.01708,0.001703,0.001703,0.001703
17,2194.04,1.57806,1.16872,1.01047,0.8627,0.90887,0.90172,0.42016,1.90703,1.05631,1.17283,0.0016832,0.0016832,0.0016832
18,2301.3,1.5479,1.09215,1.01103,0.84682,0.93285,0.8978,0.45106,1.78216,0.95298,1.10231,0.0016634,0.0016634,0.0016634
19,2409.12,1.60989,1.11475,1.02511,0.84994,0.94964,0.92179,0.49391,1.52772,0.94103,1.0253,0.0016436,0.0016436,0.0016436
20,2514.86,1.56225,1.08419,1.02187,0.79798,0.88489,0.8903,0.42079,1.74451,1.02292,1.04697,0.0016238,0.0016238,0.0016238
21,2620.43,1.5784,1.05677,1.02437,0.83609,0.94005,0.92165,0.46844,1.55754,0.96895,1.02473,0.001604,0.001604,0.001604
22,2728.71,1.60434,1.0486,1.02259,0.83298,0.91127,0.90552,0.49805,1.50065,0.99531,1.01234,0.0015842,0.0015842,0.0015842
23,2834.42,1.59086,1.06323,1.01715,0.81973,0.93783,0.90772,0.45772,1.64987,0.98862,1.02467,0.0015644,0.0015644,0.0015644
24,2943,1.538,1.02102,1.02526,0.85904,0.89928,0.91161,0.3893,1.95879,1.02025,1.08865,0.0015446,0.0015446,0.0015446
25,3051.42,1.56595,1.01181,1.00391,0.85723,0.93765,0.90658,0.49622,1.39999,0.92713,0.96741,0.0015248,0.0015248,0.0015248
26,3150.07,1.54492,0.98052,1.00479,0.82811,0.92326,0.91085,0.4451,1.66862,0.99322,1.03141,0.001505,0.001505,0.001505
27,3264.26,1.55679,1.0045,1.01743,0.84038,0.93765,0.92088,0.49382,1.61797,0.93657,1.05485,0.0014852,0.0014852,0.0014852
28,3377.89,1.63073,0.98627,1.0366,0.86402,0.92947,0.91608,0.44187,1.71986,0.92665,1.04001,0.0014654,0.0014654,0.0014654
29,3496.97,1.59184,0.97679,1.0272,0.86103,0.95093,0.93293,0.51244,1.41732,0.90619,0.98499,0.0014456,0.0014456,0.0014456
